品种,板块,子节点,图名称,同花顺概念名,知几ID,知几名称,置信度
SN,,6.2,精炼锡净进口量时序图,精炼锡净进口量,a10171683,韩国海关: 精炼锡进口量_总计: 月度,A
SN,,6.2,保税区仓单时序图,保税区仓单,a10001149,SMM: 电解铜保税区库存: 上海保税区: 周度,C
SN,,6.2,精炼锡进口量分国别时序图,精炼锡进口量分国别,a10171675,韩国海关: 精炼锡进口量_中国: 月度,A
SN,,6.3,锡焊料/焊锡出口量时序图,锡焊料/焊锡出口量,a12870406,SMM: 锡焊料产量: 月度,A
SN,,6.3,锡化工出口量时序图,锡化工出口量,a12840344,SMM: 锡锭秘鲁出口量: 月度,A
SN,,6.3,锡焊料/焊锡出口量分国别时序图,锡焊料/焊锡出口量分国别,a12870406,SMM: 锡焊料产量: 月度,A
SN,,6.3,锡化工出口量分国别时序图,锡化工出口量分国别,ID01838775,精炼锡：产量：印尼：天马（季）,A
SN,,6.3,锡焊料/焊锡与锡化工出口量时序图,锡焊料/焊锡与锡化工出口量,a12870406,SMM: 锡焊料产量: 月度,A
SN,,6.4,海外发运量时序图,海外发运量,a12795496,SMM: 电解液出货量: 月度,C
SN,,6.4,海外发运量分国别时序图,海外发运量分国别,a12795496,SMM: 电解液出货量: 月度,C
SN,,6.4,发运天数时序图,发运天数,a12810889,SMM: 锡材成品库存天数: 月度,B
SN,,6.4,发运量分国别结构占比时序图,发运量分国别结构占比,a10165102,LME: 锡: 运营商多头持仓: 总计: 持仓量占比: 周度,B
SN,,6.4,海外发运量与发运天数时序图,海外发运量与发运天数,a12795496,SMM: 电解液出货量: 月度,C
SN,,5.1,焊锡开工率时序图,焊锡开工率,a10083975,SMM: 锡焊料企业开工率: 总: 月度,A
SN,,5.1,锡化工开工率时序图,锡化工开工率,a10113278,SMM: 精炼锡_云南开工率: 周度,B
SN,,5.1,焊锡表观消费量时序图,焊锡表观消费量,a10167097,SMM: 国内锡市平衡（新）: 表观消费量: 月度,A
SN,,5.1,锡化工表观消费量时序图,锡化工表观消费量,a10167097,SMM: 国内锡市平衡（新）: 表观消费量: 月度,A
SN,,5.1,焊锡/锡化工开工率时序图,焊锡/锡化工开工率,a10083975,SMM: 锡焊料企业开工率: 总: 月度,A
SN,,5.2,焊锡终端产量时序图,焊锡终端产量,a12870406,SMM: 锡焊料产量: 月度,A
SN,,5.2,锡化工终端产量时序图,锡化工终端产量,ID01838775,精炼锡：产量：印尼：天马（季）,A
SN,,5.2,焊锡终端库存时序图,焊锡终端库存,a12756327,SMM: 锡焊料库存周期: 中型: 月度,A
SN,,5.2,锡化工终端库存时序图,锡化工终端库存,a10167094,SMM: 国内锡市平衡（新）: 厂库库存变化: 月度,A
SN,,5.2,焊锡/锡化工终端产量时序图,焊锡/锡化工终端产量,a12870406,SMM: 锡焊料产量: 月度,A
SN,,5.3,焊锡订单量时序图,焊锡订单量,a12870406,SMM: 锡焊料产量: 月度,A
SN,,5.3,锡化工订单量时序图,锡化工订单量,a10170529,GFEX: 工业硅: 仓单日报_中储无锡: 昨日仓单量: 日度,A
SN,,5.3,排产计划时序图,排产计划,a10003085,NBS: 精炼锡产量: 累计: 月度,B
SN,,5.3,焊锡订单量同比增速时序图,焊锡订单量同比增速,a10099506,SMM: 明苏尔公司锡矿产量_B2同比增长: 季度,A
SN,,5.3,锡化工订单量同比增速时序图,锡化工订单量同比增速,ID01659306,精炼锡：出口数量：马来西亚（月）,A
